naziv,postna_stevilka,drzava
Novo mesto – P.P.,8001,SI
Obrov,6243,SI
Odranci,9233,SI
Oplotnica,2317,SI
Orehova vas,2312,SI
Ormož,2270,SI
Ortnek,1316,SI
Osilnica,1337,SI
Otočec,8222,SI
Ožbalt,2361,SI
Pernica,2231,SI
Pesnica pri Mariboru,2211,SI
Petrovci,9203,SI
Petrovče,3301,SI
Piran/Pirano,6330,SI
Pišece,8255,SI
Pivka,6257,SI
Planina,6232,SI
Planina pri Sevnici,3225,SI
Pobegi,6276,SI
Podbočje,8312,SI
Podbrdo,5243,SI
Podčetrtek,3254,SI
Podgorci,2273,SI
Podgorje,6216,SI
Podgorje pri Slovenj Gradcu,2381,SI
Podgrad,6244,SI
Podkum,1414,SI
Podlehnik,2286,SI
Podnanos,5272,SI
Podnart,4244,SI
Podplat,3241,SI
Podsreda,3257,SI
Podvelka,2363,SI
Pohorje,2208,SI
Polenšak,2257,SI
Polhov Gradec,1355,SI
Poljane nad Škofjo Loko,4223,SI
Poljčane,2319,SI
Polšnik,1272,SI
Polzela,3313,SI
Ponikva,3232,SI
Portorož/Portorose,6320,SI
Postojna,6230,SI
Pragersko,2331,SI
Prebold,3312,SI
Preddvor,4205,SI
Prem,6255,SI
Preserje,1352,SI
Prestranek,6258,SI
Prevalje,2391,SI
Prevorje,3262,SI
Primskovo,1276,SI
Pristava pri Mestinju,3253,SI
Prosenjakovci/Partosfalva,9207,SI
Prvačina,5297,SI
Ptuj,2250,SI
Ptujska Gora,2323,SI
Puconci,9201,SI
Rače,2327,SI
Radeče,1433,SI
Radenci,9252,SI
Radlje ob Dravi,2360,SI
Radomlje,1235,SI
Radovljica,4240,SI
Raka,8274,SI
Rakek,1381,SI
Rateče – Planica,4283,SI
Ravne na Koroškem,2390,SI
Rečica ob Savinji,3332,SI
Renče,5292,SI
Ribnica,1310,SI
Ribnica na Pohorju,2364,SI
Rimske Toplice,3272,SI
Rob,1314,SI
Ročinj,5215,SI
Rogaška Slatina,3250,SI
Rogašovci,9262,SI
Rogatec,3252,SI
Rovte,1373,SI
Ruše,2342,SI
Sava,1282,SI
Sečovlje/Sicciole,6333,SI
Selca,4227,SI
Selnica ob Dravi,2352,SI
Semič,8333,SI
Senovo,8281,SI
Senožeče,6224,SI
Sevnica,8290,SI
Sežana,6210,SI
Sladki Vrh,2214,SI
Slap ob Idrijci,5283,SI
Slovenj Gradec,2380,SI
Slovenska Bistrica,2310,SI
Slovenske Konjice,3210,SI
Smlednik,1216,SI
Soča,5232,SI
Sodražica,1317,SI
Solčava,3335,SI
Solkan,5250,SI
Sorica,4229,SI
Sovodenj,4225,SI
Spodnja Idrija,5281,SI
Spodnji Duplek,2241,SI
Spodnji Ivanjci,9245,SI
Središče ob Dravi,2277,SI
Srednja vas v Bohinju,4267,SI
Sromlje,8256,SI
Srpenica,5224,SI
Stahovica,1242,SI
Stara Cerkev,1332,SI
Stari trg ob Kolpi,8342,SI
Stari trg pri Ložu,1386,SI
Starše,2205,SI
Stoperce,2289,SI
Stopiče,8322,SI
Stranice,3206,SI
Straža,8351,SI
Struge,1313,SI
Studenec,8293,SI
Suhor,8331,SI
Sv. Ana v Slovenskih goricah,2233,SI
Sv. Trojica v Slovenskih goricah,2235,SI
Sveti Duh na Ostrem Vrhu,2353,SI
Sveti Jurij ob Ščavnici,9244,SI
Sveti Štefan,3264,SI
Sveti Tomaž,2258,SI
Šalovci,9204,SI
Šempas,5261,SI
Šempeter pri Gorici,5290,SI
Šempeter v Savinjski dolini,3311,SI
Šenčur,4208,SI
Šentilj v Slovenskih goricah,2212,SI
Šentjanž,8297,SI
Šentjanž pri Dravogradu,2373,SI
Šentjernej,8310,SI
Šentjur,3230,SI
Šentrupert,3271,SI
Šentrupert,8232,SI
Šentvid pri Stični,1296,SI
Škocjan,8275,SI
Škofije,6281,SI
Škofja Loka,4220,SI
Škofja vas,3211,SI
Škofljica,1291,SI
Šmarje,6274,SI
