oznaka,povrsina_tlorisna_neto,lastniski_delez,st_oseb,elaborat
15030,10.00,0.0004,0,503
15040,10.00,0.0004,0,504
15050,3.00,0.0001,0,505
15060,10.00,0.0004,0,506
15070,10.00,0.0004,0,507
15080,10.00,0.0004,0,508
15090,10.00,0.0004,0,509
15100,10.00,0.0004,0,510
15110,10.00,0.0004,0,511
15120,10.00,0.0004,0,512
15130,10.00,0.0004,0,513
15140,10.00,0.0004,0,514
15150,10.00,0.0004,0,515
15160,10.00,0.0004,0,516
15170,10.00,0.0004,0,517
15180,10.00,0.0004,0,518
15190,10.00,0.0004,0,519
15200,10.00,0.0004,0,520
15210,10.00,0.0004,0,521
15220,3.00,0.0001,0,522
15230,3.00,0.0001,0,523
15240,10.00,0.0004,0,524
15250,10.00,0.0004,0,525
15260,10.00,0.0004,0,526
15270,10.00,0.0004,0,527
15280,10.00,0.0004,0,528
15290,10.00,0.0004,0,529
15300,10.00,0.0004,0,530
15310,10.00,0.0004,0,531
15320,10.00,0.0004,0,532
15330,10.00,0.0004,0,533
15340,3.00,0.0001,0,534
15350,3.00,0.0001,0,535
15360,10.00,0.0004,0,536
15370,10.00,0.0004,0,537
15380,10.00,0.0004,0,538
15390,10.00,0.0004,0,539
15400,10.00,0.0004,0,540
15410,10.00,0.0004,0,541
15420,10.00,0.0004,0,542
15430,10.00,0.0004,0,543
15440,10.00,0.0004,0,544
15450,10.00,0.0004,0,545
15460,10.00,0.0004,0,546
15470,10.00,0.0004,0,547
15480,10.00,0.0004,0,548
15490,10.00,0.0004,0,549
15500,10.00,0.0004,0,550
15510,10.00,0.0004,0,551
15520,3.00,0.0001,0,552
15530,3.00,0.0001,0,553
15540,3.00,0.0001,0,554
15550,3.00,0.0001,0,555
15560,10.00,0.0004,0,556
15570,10.00,0.0004,0,557
15580,10.00,0.0004,0,558
15590,10.00,0.0004,0,559
15600,10.00,0.0004,0,560
15610,3.00,0.0001,0,561
15620,10.00,0.0004,0,562
15630,10.00,0.0004,0,563
15640,10.00,0.0004,0,564
15650,10.00,0.0004,0,565
15660,10.00,0.0004,0,566
15670,10.00,0.0004,0,567
15680,10.00,0.0004,0,568
15690,10.00,0.0004,0,569
15700,10.00,0.0004,0,570
15710,10.00,0.0004,0,571
15720,10.00,0.0004,0,572
15730,10.00,0.0004,0,573
15740,10.00,0.0004,0,574
15750,10.00,0.0004,0,575
15760,10.00,0.0004,0,576
15780,10.00,0.0004,0,578
15790,10.00,0.0004,0,579
15800,10.00,0.0004,0,580
15810,10.00,0.0004,0,581
15820,10.00,0.0004,0,582
15830,10.00,0.0004,0,583
15840,10.00,0.0004,0,584
15850,10.00,0.0004,0,585
15860,10.00,0.0004,0,586
15870,10.00,0.0004,0,587
15880,10.00,0.0004,0,588
15890,10.00,0.0004,0,589
15900,10.00,0.0004,0,590
15910,10.00,0.0004,0,591
15920,10.00,0.0004,0,592
15930,10.00,0.0004,0,593
15940,10.00,0.0004,0,594
15950,10.00,0.0004,0,595
15960,10.00,0.0004,0,596
15970,10.00,0.0004,0,597
