naziv,postna_stevilka,drzava
Sveti Duh na Ostrem Vrhu,2353,1
Sveti Jurij ob Ščavnici,9244,1
Sveti Štefan,3264,1
Sveti Tomaž,2258,1
Šalovci,9204,1
Šempas,5261,1
Šempeter pri Gorici,5290,1
Šempeter v Savinjski dolini,3311,1
Šenčur,4208,1
Šentilj v Slovenskih goricah,2212,1
Šentjanž,8297,1
Šentjanž pri Dravogradu,2373,1
Šentjernej,8310,1
Šentjur,3230,1
Šentrupert,3271,1
Šentrupert,8232,1
Šentvid pri Stični,1296,1
Škocjan,8275,1
Škofije,6281,1
Škofja Loka,4220,1
Škofja vas,3211,1
Škofljica,1291,1
Šmarje,6274,1
Šmarje – Sap,1293,1
Šmarje pri Jelšah,3240,1
Šmarješke Toplice,8220,1
Šmartno na Pohorju,2315,1
Šmartno ob Dreti,3341,1
Šmartno ob Paki,3327,1
Šmartno pri Litiji,1275,1
Šmartno pri Slovenj Gradcu,2383,1
Šmartno v Rožni dolini,3201,1
Šoštanj,3325,1
Štanjel,6222,1
Štore,3220,1
Tabor,3304,1
Teharje,3221,1
Tišina,9251,1
Tolmin,5220,1
Topolšica,3326,1
Trbonje,2371,1
Trbovlje,1420,1
Trebelno,8231,1
Trebnje,8210,1
Trnovo pri Gorici,5252,1
Trnovska vas,2254,1
Trojane,1222,1
Trzin,1236,1
Tržič,4290,1
Tržišče,8295,1
Turjak,1311,1
Turnišče,9224,1
Uršna sela,8323,1
Vače,1252,1
Velenje,3320,1
Velenje – P.P.,3322,1
Velika Loka,8212,1
Velika Nedelja,2274,1
Velika Polana,9225,1
Velike Lašče,1315,1
Veliki Gaber,8213,1
Veržej,9241,1
Videm – Dobrepolje,1312,1
Videm pri Ptuju,2284,1
Vinica,8344,1
Vipava,5271,1
Visoko,4212,1
Višnja Gora,1294,1
Vitanje,3205,1
Vitomarci,2255,1
Vodice,1217,1
Vojnik,3212,1
Volčja Draga,5293,1
Voličina,2232,1
Vransko,3305,1
Vremski Britof,6217,1
Vrhnika,1360,1
Vuhred,2365,1
Vuzenica,2367,1
Zabukovje,8292,1
Zagorje ob Savi,1410,1
Zagradec,1303,1
Zavrc,2283,1
Zdole,8272,1
Zgornja Besnica,4201,1
Zgornja Korena,2242,1
Zgornja Kungota,2201,1
Zgornja Ložnica,2316,1
Zgornja Polskava,2314,1
Zgornja Velka,2213,1
Zgornje Gorje,4247,1
Zgornje Jezersko,4206,1
Zgornji Leskovec,2285,1
Zidani Most,1432,1
Zreče,3214,1
Žabnica,4209,1
Žalec,3310,1
Železniki,4228,1
Žetale,2287,1
Žiri,4226,1
Žirovnica,4274,1
Žužemberk,8360,1
