oznaka,naslov,posta,program,opis,povrsina_tlorisna_neto,lastniski_delez
323,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
324,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
325,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
326,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
327,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
328,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
329,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
330,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
331,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
332,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
333,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
334,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
335,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
336,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
337,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
338,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
339,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
340,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
341,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
342,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
343,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
344,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
345,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
346,Delpinova ulica 18 B,5000,PARK,Parkirni boks,17.92,0.0008
347,Delpinova ulica 18 B,5000,PARK,Parkirni boks,17.79,0.0008
348,Delpinova ulica 18 B,5000,PARK,Parkirni boks,21.40,0.0009
349,Delpinova ulica 18 B,5000,PARK,Parkirni boks,20.85,0.0009
350,Delpinova ulica 18 B,5000,PARK,Parkirni boks,20.85,0.0009
351,Delpinova ulica 18 B,5000,PARK,Parkirni boks,21.40,0.0009
352,Delpinova ulica 18 B,5000,PARK,Parkirni boks,21.40,0.0009
353,Delpinova ulica 18 B,5000,PARK,Parkirni boks,21.40,0.0009
354,Delpinova ulica 18 B,5000,PARK,Parkirni boks,35.32,0.0015
355,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
356,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
357,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
358,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
359,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
360,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
361,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
362,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
363,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
364,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
365,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
366,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
367,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
368,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
369,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
370,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
371,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
372,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
373,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
374,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
375,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
376,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
377,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
378,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
379,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
380,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
381,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
382,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
383,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
384,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
385,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
386,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
387,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
388,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - invalidi,10.00,0.0004
389,Delpinova ulica 18 B,5000,PARK,Parkirno mesto ,10.00,0.0004
390,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
391,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
392,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
393,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
394,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
395,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
396,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
397,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
398,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
399,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
400,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
401,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
402,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
403,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
404,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
405,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
406,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
407,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
408,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
409,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
410,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
411,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
412,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
413,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
414,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
415,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
416,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
417,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
418,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
419,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
420,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
421,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
422,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
423,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
424,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
425,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
426,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
427,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
428,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
429,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
430,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
431,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
432,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
433,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
434,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
435,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
436,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
437,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
438,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
439,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
440,Delpinova ulica 18 B,5000,PARK,Parkirno mesto - mot.kolesa,3.00,0.0001
441,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
442,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
443,Delpinova ulica 18 B,5000,PARK,Parkirno mesto,10.00,0.0004
